Fiscal Year,Fund,Service,Department,Program,Expense Category,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2019,General Fund,Administration,Immigrant and Refugee Affairs,Office of Immigrant and Refugee Affairs,Office of Immigrant and Refuge,Tax-Supported Fund,Operating Expense,Office of Immigrant and Refuge,,5056318
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Public Gathering Space Improve,Tax-Supported Fund,Operating Expense,Public Gathering Space Improve,,400000.0001
2019,General Fund,Utilities & Transportation,City Light,Power Supply & Environ Affairs - CIP,CEDAR FALLS - TOLT,Tax-Supported Fund,Operating Expense,CEDAR FALLS - TOLT,,4856152
2019,General Fund,"Arts, Culture & Recreation",Library,Institutional & Strategic Adva,Institutional & Strategic Adva,Tax-Supported Fund,Operating Expense,Institutional & Strategic Adva,,1532340
2019,General Fund,Administration,Cable Television Franchise Subfund,Cable Television Franchise Fund,Cable Franchise for Information Technology,Tax-Supported Fund,Operating Expense,Cable Franchise for Information Technology,,9517379
2019,General Fund,Administration,Information Technology,Digital Engagement,Open Data,Tax-Supported Fund,Operating Expense,Open Data,,1155765
2019,General Fund,Public Safety,Inspector General for Public Safety,Office of Inspector General for Public Safety,Inspctr Gen for Public Safety,Tax-Supported Fund,Operating Expense,Inspctr Gen for Public Safety,,1814087
2019,General Fund,Neighborhoods & Development,Neighborhoods,Community Building,Major Institutions and Schools,Tax-Supported Fund,Operating Expense,Major Institutions and Schools,,224453
2019,General Fund,Administration,Finance and Administrative Services,Leadership and Administration,Pooled Benefits,Tax-Supported Fund,Operating Expense,Pooled Benefits,,9771123
2019,General Fund,Administration,Information Technology,Client Services Management,Client Services Management,Tax-Supported Fund,Operating Expense,Client Services Management,,3899388
2019,General Fund,Utilities & Transportation,City Light,Leadership and Administration - Financial Services O&M,FINANCIAL SERVICES O&M,Tax-Supported Fund,Operating Expense,FINANCIAL SERVICES O&M,,18567907.2
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Leadership and Administration,Pooled Benefits,Tax-Supported Fund,Operating Expense,Pooled Benefits,,2947074
2019,General Fund,Administration,Human Resources,HR Services,HR Service Delivery,Tax-Supported Fund,Operating Expense,HR Service Delivery,,1634106
2019,General Fund,Utilities & Transportation,Transportation,Mobility Operations,Signs & Markings,Tax-Supported Fund,Operating Expense,Signs & Markings,,3990598
2019,General Fund,Administration,Information Technology,Capital Improvement Projects,Enterprise Computing Services CIP,Tax-Supported Fund,Operating Expense,Enterprise Computing Services CIP,,2832011
2019,General Fund,Administration,Finance General,Reserves,Recurring Reserve-Election Expense,Tax-Supported Fund,Operating Expense,Recurring Reserve-Election Expense,,850000
2019,General Fund,Public Safety,Police Relief and Pension,Police Relief and Pension,Medical Benefits,Tax-Supported Fund,Operating Expense,Medical Benefits,,15380000
2019,General Fund,Administration,Finance General,Appropriation to Special Funds,Emergency Subfund,Tax-Supported Fund,Operating Expense,Emergency Subfund,,1706916
2019,General Fund,Public Safety,Police,Criminal Investigations,Criminal Investigations,Tax-Supported Fund,Operating Expense,Criminal Investigations,,12397184
2019,General Fund,Neighborhoods & Development,Economic Development,Leadership and Administration,Pooled Benefits,Tax-Supported Fund,Operating Expense,Pooled Benefits,,480066
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Water Distribution System,Tax-Supported Fund,Operating Expense,Water Distribution System,,15908404.53
2019,General Fund,Utilities & Transportation,City Light,Leadership and Administration,Indirect Cost Recovery Offset,Tax-Supported Fund,Operating Expense,Indirect Cost Recovery Offset,,-6349904.526
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Building For The Future,Building For The Future - CIP,Tax-Supported Fund,Operating Expense,Building For The Future - CIP,,25388999.62
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Campuswide Improvements and Re,Tax-Supported Fund,Operating Expense,Campuswide Improvements and Re,,2888000
2019,General Fund,Administration,Finance and Administrative Services,Information Technology,Information Technology,Tax-Supported Fund,Operating Expense,Information Technology,,1333000
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Parking Repairs & Improvements,Tax-Supported Fund,Operating Expense,Parking Repairs & Improvements,,6500000
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Campus,Cultural Facilities,Tax-Supported Fund,Operating Expense,Cultural Facilities,,276071.1143
2019,General Fund,Utilities & Transportation,City Light,Customer Focused - CIP,CUSTOMER AND BILLING,Tax-Supported Fund,Operating Expense,CUSTOMER AND BILLING,,64153
2019,General Fund,Administration,Finance and Administrative Services,City Finance,City Financial Management,Tax-Supported Fund,Operating Expense,City Financial Management,,2270205
2019,General Fund,Utilities & Transportation,City Light,Engineering and Technology Innovation O&M,ENG & TECH INNOVTN ADMIN O&M,Tax-Supported Fund,Operating Expense,ENG & TECH INNOVTN ADMIN O&M,,17521733.08
2019,General Fund,Administration,Information Technology,Leadership and Administration,Strategy & Planning,Tax-Supported Fund,Operating Expense,Strategy & Planning,,2126097
2019,General Fund,Utilities & Transportation,Transportation,General Expense,Judgment & Claims,Tax-Supported Fund,Operating Expense,Judgment & Claims,,2590087
2019,General Fund,Utilities & Transportation,City Light,Debt Services,DEBT SVS OPS,Tax-Supported Fund,Operating Expense,DEBT SVS OPS,,230449285.6
2019,General Fund,Utilities & Transportation,Public Utilities,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,60458561.37
2019,General Fund,Utilities & Transportation,City Light,Transmission and Distribution O&M,TRANSMISSION & DIST ADMIN O&M,Tax-Supported Fund,Operating Expense,TRANSMISSION & DIST ADMIN O&M,,5949982.161
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Parks and Open Space,Citywide Programs,Tax-Supported Fund,Operating Expense,Citywide Programs,,1910094.85
2019,General Fund,Administration,Finance and Administrative Services,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,5433491
2019,General Fund,Administration,Finance General,Reserves,Community Health Engagement Location,Tax-Supported Fund,Operating Expense,Community Health Engagement Location,,0
2019,General Fund,Administration,Information Technology,Engineering and Operations,Customer Support Services,Tax-Supported Fund,Operating Expense,Customer Support Services,,22437775
2019,General Fund,Utilities & Transportation,Transportation,Mobility Operations,Parking & Curbspace,Tax-Supported Fund,Operating Expense,Parking & Curbspace,,13670815
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Compliance,Compliance,Tax-Supported Fund,Operating Expense,Compliance,,6101194.325
2019,General Fund,Administration,Finance and Administrative Services,Judgment & Claims Litigation,GF Judgments,Tax-Supported Fund,Operating Expense,GF Judgments,,8489019
2019,General Fund,Education & Human Services,Human Services,Preparing Youth for Success,Safety,Tax-Supported Fund,Operating Expense,Safety,,6711832
2019,General Fund,Administration,Finance and Administrative Services,Seattle Animal Shelter,Seattle Animal Shelter,Tax-Supported Fund,Operating Expense,Seattle Animal Shelter,,5910611
2019,General Fund,Utilities & Transportation,Transportation,Major Maintenance/Replacement,"Signs, Signals and Markings",Tax-Supported Fund,Operating Expense,"Signs, Signals and Markings",,1552534
2019,General Fund,Utilities & Transportation,City Light,"Customer Service, Communications and Regulatory Affairs",CUST COMM REG OPS O&M,Tax-Supported Fund,Operating Expense,CUST COMM REG OPS O&M,,83431726.74
2019,General Fund,Public Safety,Fire,Operations,Battalion 6,Tax-Supported Fund,Operating Expense,Battalion 6,,24159793
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Water System Operations,Tax-Supported Fund,Operating Expense,Water System Operations,,18763120.2
2019,General Fund,Administration,Finance and Administrative Services,FAS Oversight-External Projects,FAS Oversight - External Proj,Tax-Supported Fund,Operating Expense,FAS Oversight - External Proj,,2500000
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Facility Infrastructure Renova,Tax-Supported Fund,Operating Expense,Facility Infrastructure Renova,,0.0001
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Leadership and Administration,CIP Indirect Costs,Tax-Supported Fund,Operating Expense,CIP Indirect Costs,,0.2485
2019,General Fund,Utilities & Transportation,Public Utilities,Shared Cost Projects,Shared Cost Projects,Tax-Supported Fund,Operating Expense,Shared Cost Projects,,129345465
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Debt and Special Funding,Debt and Special Funding,Tax-Supported Fund,Operating Expense,Debt and Special Funding,,6038999.97
2019,General Fund,Neighborhoods & Development,Housing,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,3629311
2019,General Fund,Utilities & Transportation,City Light,Environmental Affairs O&M,ENVIRO AFFAIRS DEFERRED O&M,Tax-Supported Fund,Operating Expense,ENVIRO AFFAIRS DEFERRED O&M,,2606018.602
2019,General Fund,Utilities & Transportation,City Light,Customer Focused - CIP,TRANSPORTATION RELOCATIONS,Tax-Supported Fund,Operating Expense,TRANSPORTATION RELOCATIONS,,30074988
2019,General Fund,Administration,Finance and Administrative Services,Office of Constituent Services,Office of Constituent Services,Tax-Supported Fund,Operating Expense,Office of Constituent Services,,6728148
2019,General Fund,Administration,Cable Television Franchise Subfund,Cable Television Franchise Fund,Cable Franchise for Library,Tax-Supported Fund,Operating Expense,Cable Franchise for Library,,642000
2019,General Fund,Administration,Information Technology,IT Initiatives,Department Operational Projects,Tax-Supported Fund,Operating Expense,Department Operational Projects,,25726752
2019,General Fund,Utilities & Transportation,Public Utilities,General Expense,Taxes and Fees,Tax-Supported Fund,Operating Expense,Taxes and Fees,,137269086
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Utility Infrstr MP and Repairs,Tax-Supported Fund,Operating Expense,Utility Infrstr MP and Repairs,,704999.9999
2019,General Fund,Administration,Information Technology,IT Initiatives,Budget for Billed Services,Tax-Supported Fund,Operating Expense,Budget for Billed Services,,15228621
2019,General Fund,Utilities & Transportation,Public Utilities,Rehabilitation,Rehabilitation,Tax-Supported Fund,Operating Expense,Rehabilitation,,45274241
2019,General Fund,Administration,Information Technology,Engineering and Operations,Network and Communications Technology,Tax-Supported Fund,Operating Expense,Network and Communications Technology,,19009130
2019,General Fund,Administration,Finance and Administrative Services,Central Waterfront Improvement Program Financial Support,Prog-Central Waterfront Improv,Tax-Supported Fund,Operating Expense,Prog-Central Waterfront Improv,,2049092
2019,General Fund,Utilities & Transportation,Public Utilities,Watershed Stewardship,Watershed Stewardship,Tax-Supported Fund,Operating Expense,Watershed Stewardship,,1192633
2019,General Fund,Administration,Information Technology,Capital Improvement Projects,Application Services CIP,Tax-Supported Fund,Operating Expense,Application Services CIP,,10077064
2019,General Fund,Administration,Finance and Administrative Services,Leadership and Administration,Indirect Cost Recovery Offset,Tax-Supported Fund,Operating Expense,Indirect Cost Recovery Offset,,-41699634
2019,General Fund,Administration,Information Technology,Applications Services,Cross Platform Services,Tax-Supported Fund,Operating Expense,Cross Platform Services,,6699217
2019,General Fund,Utilities & Transportation,City Light,Transmission and Distribution O&M,XSMN & DIST DEFERRED O&M,Tax-Supported Fund,Operating Expense,XSMN & DIST DEFERRED O&M,,0.1987
2019,General Fund,Utilities & Transportation,Transportation,Mobility-Capital,Neighborhood Enhancements,Tax-Supported Fund,Operating Expense,Neighborhood Enhancements,,7469534
2019,General Fund,Utilities & Transportation,Transportation,Mobility-Capital,New Trails and Bike Paths,Tax-Supported Fund,Operating Expense,New Trails and Bike Paths,,20619830
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Zoo and Aquarium Programs,Zoo and Aquarium Programs,Tax-Supported Fund,Operating Expense,Zoo and Aquarium Programs,,7108989
2019,General Fund,Utilities & Transportation,City Light,Transmission and Distribution - CIP,SUBSTATIONS,Tax-Supported Fund,Operating Expense,SUBSTATIONS,,29573335
2019,General Fund,Education & Human Services,Education and Early Learning,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,2003756
2019,General Fund,Public Safety,Fire,Fire Prevention,Fire Investigations,Tax-Supported Fund,Operating Expense,Fire Investigations,,1436857
2019,General Fund,Administration,Information Technology,Applications Services,Applications Maintenance,Tax-Supported Fund,Operating Expense,Applications Maintenance,,3058407
2019,General Fund,Utilities & Transportation,City Light,Power Supply & Environ Affairs - CIP,FLEETS AND FACILITIES,Tax-Supported Fund,Operating Expense,FLEETS AND FACILITIES,,18530346
2019,General Fund,Administration,Information Technology,Applications Services,Applications,Tax-Supported Fund,Operating Expense,Applications,,29759810
2019,General Fund,Public Safety,Fire,Operations,Battalion 5,Tax-Supported Fund,Operating Expense,Battalion 5,,25752466
2019,General Fund,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Sidewalk Maintenance,Tax-Supported Fund,Operating Expense,Sidewalk Maintenance,,5692001
2019,General Fund,Administration,Information Technology,IT Initiatives,Citywide IT Initiatives,Tax-Supported Fund,Operating Expense,Citywide IT Initiatives,,1564230
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,3467073
2019,General Fund,Utilities & Transportation,City Light,Transmission and Distribution - CIP,TRANSMISSION,Tax-Supported Fund,Operating Expense,TRANSMISSION,,11250351
2019,General Fund,Utilities & Transportation,Transportation,Maintenance Operations,Tree & Landscape Maintenance,Tax-Supported Fund,Operating Expense,Tree & Landscape Maintenance,,5847777
2019,General Fund,Administration,Information Technology,Applications Services,Divisional Indirect - Applications Services,Tax-Supported Fund,Operating Expense,Divisional Indirect - Applications Services,,-515866
2019,General Fund,"Arts, Culture & Recreation",Library,Capital Improvements,Capital Improvements,Tax-Supported Fund,Operating Expense,Capital Improvements,,3221000
2019,General Fund,Administration,Finance and Administrative Services,General Government Facilities - General,General Govt Facilities,Tax-Supported Fund,Operating Expense,General Govt Facilities,,8550000
2019,General Fund,Utilities & Transportation,City Light,"Customer Service, Communications and Regulatory Affairs",CUST COMM REG SECRTY G&A O&M,Tax-Supported Fund,Operating Expense,CUST COMM REG SECRTY G&A O&M,,0.285
2019,General Fund,Administration,Finance and Administrative Services,Judgment & Claims Claims,Utility Claims Reimbursable,Tax-Supported Fund,Operating Expense,Utility Claims Reimbursable,,1732070
2019,General Fund,Utilities & Transportation,City Light,Leadership and Administration - General Expense,Pooled Benefits and PTO,Tax-Supported Fund,Operating Expense,Pooled Benefits and PTO,,3442177.534
2019,General Fund,Neighborhoods & Development,Housing,Multifamily Housing,Multifamily Lending,Tax-Supported Fund,Operating Expense,Multifamily Lending,,49620985
2019,General Fund,Public Safety,Fire,Operations,Communications,Tax-Supported Fund,Operating Expense,Communications,,5151374
2019,General Fund,Administration,Finance General,Appropriation to Special Funds,Police Relief and Pension Fund,Tax-Supported Fund,Operating Expense,Police Relief and Pension Fund,,21937218
2019,General Fund,Utilities & Transportation,City Light,Power Management and Strategic Planning O&M,PWR MGT & STRATEGIC PLAN O&M,Tax-Supported Fund,Operating Expense,PWR MGT & STRATEGIC PLAN O&M,,16230544.68
2019,General Fund,Administration,Finance and Administrative Services,City Purchasing and Contracting Services,Purchasing Services,Tax-Supported Fund,Operating Expense,Purchasing Services,,3846180
2019,General Fund,Utilities & Transportation,City Light,"Customer Service, Communications and Regulatory Affairs",CUST COMM REG ADMIN O&M,Tax-Supported Fund,Operating Expense,CUST COMM REG ADMIN O&M,,8826111.736
2019,General Fund,Utilities & Transportation,Public Utilities,Leadership and Administration,Paid Time Off Indirect Costs,Tax-Supported Fund,Operating Expense,Paid Time Off Indirect Costs,,5051238.17
2019,General Fund,Administration,Finance and Administrative Services,City Finance,Citywide Accounting Services,Tax-Supported Fund,Operating Expense,Citywide Accounting Services,,14110010
2019,General Fund,Administration,Finance and Administrative Services,ADA Improvements,ADA Improvements,Tax-Supported Fund,Operating Expense,ADA Improvements,,750000
2019,General Fund,Utilities & Transportation,Public Utilities,"Flooding, Sewer Backup & Landslide","Flooding, Sewer Backup & Lndsl",Tax-Supported Fund,Operating Expense,"Flooding, Sewer Backup & Lndsl",,16029911
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Golf Programs,Golf Course Programs,Tax-Supported Fund,Operating Expense,Golf Course Programs,,11602434.21
2019,General Fund,Administration,Finance General,Reserves,Recurring Reserve-Pacific Science Center Lease Reserve,Tax-Supported Fund,Operating Expense,Recurring Reserve-Pacific Science Center Lease Reserve,,120000
2019,General Fund,Administration,Finance General,Reserves,Youth Opportunity Center and Housing Project,Tax-Supported Fund,Operating Expense,Youth Opportunity Center and Housing Project,,0
2019,General Fund,"Arts, Culture & Recreation",Arts and Culture,Arts and Cultural Programs,Cultural Facilities Operations,Tax-Supported Fund,Operating Expense,Cultural Facilities Operations,,842008
2019,General Fund,"Funds, Subfunds and Other",Debt Service,Bond Interest and Redemption,Bond Interest and Redemption,Tax-Supported Fund,Operating Expense,Bond Interest and Redemption,,2414305
2019,General Fund,Utilities & Transportation,City Light,Power Supply & Environ Affairs - CIP,SKAGIT,Tax-Supported Fund,Operating Expense,SKAGIT,,29145102
2019,General Fund,Public Safety,Police,East Precinct,East Precinct,Tax-Supported Fund,Operating Expense,East Precinct,,24491836
2019,General Fund,Administration,Information Technology,Digital Engagement,Cable Communications,Tax-Supported Fund,Operating Expense,Cable Communications,,0
2019,General Fund,Utilities & Transportation,Transportation,Mobility-Capital,Intelligent Transportation System,Tax-Supported Fund,Operating Expense,Intelligent Transportation System,,4516945
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Permit Services,Permit Services,Tax-Supported Fund,Operating Expense,Permit Services,,22573273.33
2019,General Fund,Public Safety,Police,Patrol Operations,Patrol Operations,Tax-Supported Fund,Operating Expense,Patrol Operations,,12976429
2019,General Fund,Public Safety,Fire,Operations,Battalion 4,Tax-Supported Fund,Operating Expense,Battalion 4,,27270907
2019,General Fund,Administration,Information Technology,Digital Engagement,Digital Services,Tax-Supported Fund,Operating Expense,Digital Services,,3857494
2019,General Fund,Public Safety,Municipal Court,Court Compliance,Court Compliance,Tax-Supported Fund,Operating Expense,Court Compliance,,5666604
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Recreation Facility Programs,Aquatic & Swimming Programs,Tax-Supported Fund,Operating Expense,Aquatic & Swimming Programs,,8315407.21
2019,General Fund,Administration,Labor Standards,Office of Labor Standards,Business Outreach and Education Fund Contracts,Tax-Supported Fund,Operating Expense,Business Outreach and Education Fund Contracts,,800000
2019,General Fund,Utilities & Transportation,Seattle Streetcar,South Lake Union Streetcar Operations,S Lake Union Streetcar Ops,Tax-Supported Fund,Operating Expense,S Lake Union Streetcar Ops,,2793955
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,DWW System Operations,Tax-Supported Fund,Operating Expense,DWW System Operations,,22674957.85
2019,General Fund,"Arts, Culture & Recreation",Arts and Culture,Public Art,Artwork Conservation,Tax-Supported Fund,Operating Expense,Artwork Conservation,,190039
2019,General Fund,Education & Human Services,Human Services,Promoting Public Health,HIV Management,Tax-Supported Fund,Operating Expense,HIV Management,,1039923
2019,General Fund,Neighborhoods & Development,Neighborhoods,Community Building,Historic Preservation,Tax-Supported Fund,Operating Expense,Historic Preservation,,865613
2019,General Fund,Utilities & Transportation,City Light,Leadership and Administration - General Expense,DEPARTMENT WIDE COSTS,Tax-Supported Fund,Operating Expense,DEPARTMENT WIDE COSTS,,20536686.71
2019,General Fund,Public Safety,Law,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,2114873
2019,General Fund,Administration,Finance General,Reserves,Sweetened Beverage Tax Related Job Retraining,Tax-Supported Fund,Operating Expense,Sweetened Beverage Tax Related Job Retraining,,500000
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Campus,Commercial Events,Tax-Supported Fund,Operating Expense,Commercial Events,,1933677.213
2019,General Fund,Utilities & Transportation,City Light,Transmission and Distribution - CIP,RADIAL,Tax-Supported Fund,Operating Expense,RADIAL,,60718640
2019,General Fund,Utilities & Transportation,Transportation,Leadership and Administration,Pooled Benefits and PTO,Tax-Supported Fund,Operating Expense,Pooled Benefits and PTO,,30284326
2019,General Fund,Utilities & Transportation,Public Utilities,Combined Sewer Overflows,Combined Sewer Overflows,Tax-Supported Fund,Operating Expense,Combined Sewer Overflows,,71316167
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Campus,Community Programs,Tax-Supported Fund,Operating Expense,Community Programs,,2536564.502
2019,General Fund,Administration,Information Technology,Engineering and Operations,Enterprise Computing,Tax-Supported Fund,Operating Expense,Enterprise Computing,,21645031
2019,General Fund,Utilities & Transportation,City Light,Customer Focused - CIP,CUSTOMER OTHER,Tax-Supported Fund,Operating Expense,CUSTOMER OTHER,,1192905
2019,General Fund,Administration,Legislative,Legislative Department,General Expense,Tax-Supported Fund,Operating Expense,General Expense,,0
2019,General Fund,Administration,Finance and Administrative Services,Capital Development and Construction Management,Capital Dev and Const Mgmt,Tax-Supported Fund,Operating Expense,Capital Dev and Const Mgmt,,0
2019,General Fund,Utilities & Transportation,Public Utilities,Water Quality & Treatment,Water Quality & Treatment,Tax-Supported Fund,Operating Expense,Water Quality & Treatment,,1660000
2019,General Fund,Public Safety,Police,Office of Police Accountability,Police Accountability,Tax-Supported Fund,Operating Expense,Police Accountability,,3947291
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Land Use Services,Land Use Services CBA,Tax-Supported Fund,Operating Expense,Land Use Services CBA,,1672241
2019,General Fund,Utilities & Transportation,Public Utilities,Leadership and Administration,Pooled Benefits Indirect Costs,Tax-Supported Fund,Operating Expense,Pooled Benefits Indirect Costs,,2194274.354
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Compliance,Rental Housing,Tax-Supported Fund,Operating Expense,Rental Housing,,2014134.87
2019,General Fund,Administration,Civil Rights,Civil Rights,Policy,Tax-Supported Fund,Operating Expense,Policy,,608906.4793
2019,General Fund,Public Safety,Law,Civil,Civil,Tax-Supported Fund,Operating Expense,Civil,,14227912
2019,General Fund,Education & Human Services,Human Services,Promoting Public Health,Physical Health Care,Tax-Supported Fund,Operating Expense,Physical Health Care,,9933788
2019,General Fund,Administration,Labor Standards,Office of Labor Standards,Office of Labor Standards,Tax-Supported Fund,Operating Expense,Office of Labor Standards,,4299133
2019,General Fund,Public Safety,Fire,Fire Prevention,Office of the Fire Marshall,Tax-Supported Fund,Operating Expense,Office of the Fire Marshall,,1561693
2019,General Fund,Administration,Information Technology,"Security, Risk & Compliance","Security, Risk & Compliance",Tax-Supported Fund,Operating Expense,"Security, Risk & Compliance",,4353752
2019,General Fund,"Funds, Subfunds and Other",Fiber Leasing Fund,Fiber Leasing Fund,Fiber Leasing Fund,Tax-Supported Fund,Operating Expense,Fiber Leasing Fund,,0
2019,General Fund,Neighborhoods & Development,Neighborhoods,Community Building,Duwamish River Opportunity Fund,Tax-Supported Fund,Operating Expense,Duwamish River Opportunity Fund,,250000
2019,General Fund,Utilities & Transportation,City Light,Long-Term Purchased Power,LONG TERM PURCH PWR OPS O&M,Tax-Supported Fund,Operating Expense,LONG TERM PURCH PWR OPS O&M,,298051673.1
2019,General Fund,Administration,Human Resources,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,2690360
2019,General Fund,Utilities & Transportation,Seattle Streetcar,First Hill Streetcar Operations,First Hill Streetcar Ops,Tax-Supported Fund,Operating Expense,First Hill Streetcar Ops,,12069474
2019,General Fund,Education & Human Services,Education and Early Learning,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,4463698
2019,General Fund,"Arts, Culture & Recreation",Arts and Culture,Arts and Cultural Programs,Activations Equity and Youth Development,Tax-Supported Fund,Operating Expense,Activations Equity and Youth Development,,2215715
2019,General Fund,Neighborhoods & Development,Neighborhoods,Community Building,Community Engagement Coordinators,Tax-Supported Fund,Operating Expense,Community Engagement Coordinators,,1895322
2019,General Fund,Administration,Finance and Administrative Services,City Services,City Services,Tax-Supported Fund,Operating Expense,City Services,,3886890
2019,General Fund,Administration,Finance and Administrative Services,Judgment & Claims Litigation,GF Expenses,Tax-Supported Fund,Operating Expense,GF Expenses,,2347863
2019,General Fund,Utilities & Transportation,Transportation,Maintenance Operations,Emergency Response,Tax-Supported Fund,Operating Expense,Emergency Response,,4636759
2019,General Fund,Education & Human Services,Human Services,Supporting Affordability and Livability,Food & Nutrition,Tax-Supported Fund,Operating Expense,Food & Nutrition,,14938949
2019,General Fund,Public Safety,Fire,Operations,Battalion 2,Tax-Supported Fund,Operating Expense,Battalion 2,,28128703
2019,General Fund,Administration,Finance and Administrative Services,Judgment & Claims Litigation,Utility Judgments Reimbursable,Tax-Supported Fund,Operating Expense,Utility Judgments Reimbursable,,3580747
2019,General Fund,Administration,Civil Rights,Civil Rights,Civil Rights Enforcement,Tax-Supported Fund,Operating Expense,Civil Rights Enforcement,,1124585.824
2019,General Fund,Utilities & Transportation,Public Utilities,Transmission,TRANSMISSION,Tax-Supported Fund,Operating Expense,TRANSMISSION,,11897836
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,McCaw Hall,Debt Service,Tax-Supported Fund,Operating Expense,Debt Service,,121000
2019,General Fund,Administration,Information Technology,Capital Improvement Projects,Seattle Channel CIP,Tax-Supported Fund,Operating Expense,Seattle Channel CIP,,392531
