Fiscal Year,Fund,Service,Department,Program,Expense Category,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Recreation Facility Programs,Partnerships - Recreation,Tax-Supported Fund,Operating Expense,Partnerships - Recreation,,1060585.96
2019,General Fund,Administration,Finance and Administrative Services,Fleet Services,Motorpool,Tax-Supported Fund,Operating Expense,Motorpool,,856824
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Seattle Conservation Corps,Seattle Conservation Corps,Tax-Supported Fund,Operating Expense,Seattle Conservation Corps,,3902707.66
2019,General Fund,Utilities & Transportation,Transportation,Bridges & Structures,Structures Maintenance,Tax-Supported Fund,Operating Expense,Structures Maintenance,,7301038
2019,General Fund,Administration,Finance and Administrative Services,FAS Project Delivery Services,FAS Project Delivery Services,Tax-Supported Fund,Operating Expense,FAS Project Delivery Services,,3500000
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Cost Center Maintenance and Repairs,M&R Specialty Crews,Tax-Supported Fund,Operating Expense,M&R Specialty Crews,,4503857.67
2019,General Fund,Administration,Legislative,Legislative Department,City Council,Tax-Supported Fund,Operating Expense,City Council,,5518704
2019,General Fund,Utilities & Transportation,Transportation,Mobility Operations,Urban Planning,Tax-Supported Fund,Operating Expense,Urban Planning,,4060094
2019,General Fund,Administration,Civil Rights,Civil Rights,RSJI,Tax-Supported Fund,Operating Expense,RSJI,,1060057.802
2019,General Fund,Administration,Finance and Administrative Services,City Finance,Revenue Administration,Tax-Supported Fund,Operating Expense,Revenue Administration,,5800581
2019,General Fund,Public Safety,Police,Special Investigations,Special Investigations,Tax-Supported Fund,Operating Expense,Special Investigations,,8398426
2019,General Fund,"Arts, Culture & Recreation",Library,Chief Librarians Office,Chief Librarians Office,Tax-Supported Fund,Operating Expense,Chief Librarians Office,,479785
2019,General Fund,Public Safety,Fire,Operations,Battalion 7,Tax-Supported Fund,Operating Expense,Battalion 7,,21576587
2019,General Fund,Utilities & Transportation,Public Utilities,General Expense,Major Contracts,Tax-Supported Fund,Operating Expense,Major Contracts,,288635714
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Wastewater System,Tax-Supported Fund,Operating Expense,Wastewater System,,15075017.9
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Recreation Facility Programs,Rec Programs & Facility Ops,Tax-Supported Fund,Operating Expense,Rec Programs & Facility Ops,,25384913.69
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Leadership and Administration,Divisional Indirect,Tax-Supported Fund,Operating Expense,Divisional Indirect,,1799819.441
2019,General Fund,Neighborhoods & Development,Economic Development,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,714135
2019,General Fund,Administration,Ethics and Elections,Democracy Vouchers,Democracy Vouchers,Tax-Supported Fund,Operating Expense,Democracy Vouchers,,5456062
2019,General Fund,Administration,Information Technology,Digital Engagement,Seattle Channel,Tax-Supported Fund,Operating Expense,Seattle Channel,,3115626
2019,General Fund,Utilities & Transportation,Public Utilities,General Expense,Debt Service,Tax-Supported Fund,Operating Expense,Debt Service,,179931914
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Campus,Festivals,Tax-Supported Fund,Operating Expense,Festivals,,1289701.992
2019,General Fund,Utilities & Transportation,Transportation,Mobility Operations,Traffic Signals,Tax-Supported Fund,Operating Expense,Traffic Signals,,9289651
2019,General Fund,Neighborhoods & Development,Housing,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,764478
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Water Facilities & Equip,Tax-Supported Fund,Operating Expense,Water Facilities & Equip,,3257662.406
2019,General Fund,Utilities & Transportation,Transportation,Maintenance Operations,Street Cleaning,Tax-Supported Fund,Operating Expense,Street Cleaning,,7616728
2019,General Fund,Utilities & Transportation,City Light,Environmental Affairs O&M,ENVIRO AFFAIRS ADMIN O&M,Tax-Supported Fund,Operating Expense,ENVIRO AFFAIRS ADMIN O&M,,8792525.949
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,KeyArena,KeyArena,Tax-Supported Fund,Operating Expense,KeyArena,,-0.381200001
2019,General Fund,Administration,Finance and Administrative Services,City Finance,Treasury Services,Tax-Supported Fund,Operating Expense,Treasury Services,,5968379
2019,General Fund,"Arts, Culture & Recreation",Arts and Culture,Cultural Space,Cultural Space,Tax-Supported Fund,Operating Expense,Cultural Space,,1267864
2019,General Fund,Public Safety,Police,Special Victims,Special Victims,Tax-Supported Fund,Operating Expense,Special Victims,,6954301
2019,General Fund,Utilities & Transportation,City Light,Leadership and Administration - Financial Services O&M,FINANCIAL SERVICES ADMIN O&M,Tax-Supported Fund,Operating Expense,FINANCIAL SERVICES ADMIN O&M,,3193417
2019,General Fund,Education & Human Services,Human Services,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,3040637
2019,General Fund,Administration,Legislative,Legislative Department,Central Staff,Tax-Supported Fund,Operating Expense,Central Staff,,3390358
2019,General Fund,Administration,Finance General,Reserves,Recurring Reserve-Portable Art Rental and Maintenance,Tax-Supported Fund,Operating Expense,Recurring Reserve-Portable Art Rental and Maintenance,,332966
2019,General Fund,Neighborhoods & Development,Planning and Community Development,Planning and Community Development,Planning,Tax-Supported Fund,Operating Expense,Planning,,11201444.03
2019,General Fund,Administration,Finance and Administrative Services,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,9384257
2019,General Fund,Public Safety,Law,Precinct Liaison,Precinct Liaison,Tax-Supported Fund,Operating Expense,Precinct Liaison,,788782
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Campus,Access,Tax-Supported Fund,Operating Expense,Access,,1239188.551
2019,General Fund,Administration,Finance and Administrative Services,Regulatory Compliance and Consumer Protection,Reg Compl & Consumr Protection,Tax-Supported Fund,Operating Expense,Reg Compl & Consumr Protection,,8509586
2019,General Fund,Public Safety,Police,West Precinct,West Precinct,Tax-Supported Fund,Operating Expense,West Precinct,,31146870
2019,General Fund,Education & Human Services,Education and Early Learning,Early Learning,Early Learning,Tax-Supported Fund,Operating Expense,Early Learning,,56335337
2019,General Fund,Administration,Information Technology,Capital Improvement Projects,Security CIP,Tax-Supported Fund,Operating Expense,Security CIP,,860454
2019,General Fund,Utilities & Transportation,City Light,Leadership and Administration,ADMIN SVS ADMIN O&M,Tax-Supported Fund,Operating Expense,ADMIN SVS ADMIN O&M,,18727643.86
2019,General Fund,Administration,Finance General,Reserves,Recurring Reserve-Family Leave Program,Tax-Supported Fund,Operating Expense,Recurring Reserve-Family Leave Program,,2000000
2019,General Fund,Utilities & Transportation,Transportation,Mobility Operations,Commuter Mobility,Tax-Supported Fund,Operating Expense,Commuter Mobility,,29487981
2019,General Fund,Administration,Finance General,Appropriation to Special Funds,Information Technology Fund,Tax-Supported Fund,Operating Expense,Information Technology Fund,,3148841
2019,General Fund,Administration,Finance and Administrative Services,Leadership and Administration,Divisional Indirect Costs,Tax-Supported Fund,Operating Expense,Divisional Indirect Costs,,6850815
2019,General Fund,"Arts, Culture & Recreation",Arts and Culture,Leadership and Administration,Pooled Benefits and PTO,Tax-Supported Fund,Operating Expense,Pooled Benefits and PTO,,1116003
2019,General Fund,"Arts, Culture & Recreation",Library,Library Program and Services,Information Technology,Tax-Supported Fund,Operating Expense,Information Technology,,6265843
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Leadership and Administration,Indirect Cost Recovery Offset,Tax-Supported Fund,Operating Expense,Indirect Cost Recovery Offset,,-3743689.53
2019,General Fund,"Arts, Culture & Recreation",Arts and Culture,Arts and Cultural Programs,Funding Programs & Partnership,Tax-Supported Fund,Operating Expense,Funding Programs & Partnership,,3426173
2019,General Fund,Neighborhoods & Development,Housing,Leadership and Administration,Pooled Benefits,Tax-Supported Fund,Operating Expense,Pooled Benefits,,700636
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Inspections,Inspections Services CBA,Tax-Supported Fund,Operating Expense,Inspections Services CBA,,2726100.4
2019,General Fund,Administration,Information Technology,Capital Improvement Projects,Radio Communications CIP,Tax-Supported Fund,Operating Expense,Radio Communications CIP,,668921
2019,General Fund,Administration,Civil Rights,Civil Rights,Leadership and Administration,Tax-Supported Fund,Operating Expense,Leadership and Administration,,1883069.863
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Waste Recycle Center Warehouse,Tax-Supported Fund,Operating Expense,Waste Recycle Center Warehouse,,0
2019,General Fund,Public Safety,Police,Narcotics Investigations,Narcotics Investigations,Tax-Supported Fund,Operating Expense,Narcotics Investigations,,5330173
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,15442853
2019,General Fund,Utilities & Transportation,Public Utilities,Technology,Technology,Tax-Supported Fund,Operating Expense,Technology,,12872999
2019,General Fund,"Arts, Culture & Recreation",Library,Library Program and Services,Public Services,Tax-Supported Fund,Operating Expense,Public Services,,35166235
2019,General Fund,Administration,Finance General,Reserves,Get Engaged: City Boards and Commissions,Tax-Supported Fund,Operating Expense,Get Engaged: City Boards and Commissions,,34937
2019,General Fund,Utilities & Transportation,Transportation,Leadership and Administration,Divisional Indirect Costs,Tax-Supported Fund,Operating Expense,Divisional Indirect Costs,,14381362
2019,General Fund,Utilities & Transportation,City Light,Power Supply & Environ Affairs - CIP,POWER SUPPLY OTHER,Tax-Supported Fund,Operating Expense,POWER SUPPLY OTHER,,6160897
2019,General Fund,Public Safety,Municipal Court,Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,13740001
2019,General Fund,Education & Human Services,Education and Early Learning,Post-Secondary Programs,Post-Secondary Programs,Tax-Supported Fund,Operating Expense,Post-Secondary Programs,,4093870
2019,General Fund,Administration,Finance General,Reserves,Recurring Reserve-State Examiner,Tax-Supported Fund,Operating Expense,Recurring Reserve-State Examiner,,878416
2019,General Fund,Utilities & Transportation,Transportation,Bridges & Structures,Bridge Operations,Tax-Supported Fund,Operating Expense,Bridge Operations,,3739772
2019,General Fund,Public Safety,Police,Leadership and Administration,Divisional Indirect Costs,Tax-Supported Fund,Operating Expense,Divisional Indirect Costs,,15819612
2019,General Fund,Public Safety,Fire,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,27437733
2019,General Fund,ERROR: #N/A,Employee Ombud,Office of the Employee Ombud,Office of the Employee Ombud,Tax-Supported Fund,Operating Expense,Office of the Employee Ombud,,563598
2019,General Fund,"Funds, Subfunds and Other",Debt Service,UTGO Debt Service,UTGO Debt Service,Tax-Supported Fund,Operating Expense,UTGO Debt Service,,22768800
2019,General Fund,Administration,Information Technology,Capital Improvement Projects,Technology Engineering & Project Management CIP,Tax-Supported Fund,Operating Expense,Technology Engineering & Project Management CIP,,4133248
2019,General Fund,Administration,Finance General,Reserves,Police Civilian Community Liaison Services,Tax-Supported Fund,Operating Expense,Police Civilian Community Liaison Services,,0
2019,General Fund,Administration,Finance General,Appropriation to Special Funds,Arts and Culture Fund,Tax-Supported Fund,Operating Expense,Arts and Culture Fund,,11549602
2019,General Fund,"Arts, Culture & Recreation",Library,Administrative/Support Service,FAC Services,Tax-Supported Fund,Operating Expense,FAC Services,,9240483
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Leadership and Administration,Indirect Cost Recovery Offset,Tax-Supported Fund,Operating Expense,Indirect Cost Recovery Offset,,-5654341.084
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Customer Service,Tax-Supported Fund,Operating Expense,Customer Service,,26099067.46
2019,General Fund,Administration,Finance and Administrative Services,Fleet Services,Vehicle Leasing,Tax-Supported Fund,Operating Expense,Vehicle Leasing,,1204332
2019,General Fund,Public Safety,Police,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,27386845
2019,General Fund,Education & Human Services,Human Services,Promoting Healthy Aging,Case Management,Tax-Supported Fund,Operating Expense,Case Management,,29054377
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Campus,Campus Grounds,Tax-Supported Fund,Operating Expense,Campus Grounds,,12301446.25
2019,General Fund,Administration,Finance General,Reserves,Reentry Workforce Strategies,Tax-Supported Fund,Operating Expense,Reentry Workforce Strategies,,250000
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Recreation Facility Programs,M&R - Recreation Facilities,Tax-Supported Fund,Operating Expense,M&R - Recreation Facilities,,4466927.51
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Solid Waste Facilities & Equip,Tax-Supported Fund,Operating Expense,Solid Waste Facilities & Equip,,5529176.411
2019,General Fund,Administration,Information Technology,Leadership and Administration,Pooled Benefits and PTO,Tax-Supported Fund,Operating Expense,Pooled Benefits and PTO,,75734
2019,General Fund,Public Safety,Firefighters Pension,Firefighters Pension,Medical Benefits,Tax-Supported Fund,Operating Expense,Medical Benefits,,12000000
2019,General Fund,Utilities & Transportation,City Light,Generation Operations and Engineering O&M,GENERATION OPS & ENG ADMIN O&M,Tax-Supported Fund,Operating Expense,GENERATION OPS & ENG ADMIN O&M,,27902391.9
2019,General Fund,Utilities & Transportation,City Light,Leadership and Administration - General Expense,Indirect Cost Recovery,Tax-Supported Fund,Operating Expense,Indirect Cost Recovery,,-30094563.31
2019,General Fund,"Arts, Culture & Recreation",Library,Administrative/Support Service,Event Services,Tax-Supported Fund,Operating Expense,Event Services,,479853
2019,General Fund,Administration,Human Resources,HR Services,Recruit Retent,Tax-Supported Fund,Operating Expense,Recruit Retent,,1647849
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Departmentwide Programs,Departmentwide Other,Tax-Supported Fund,Operating Expense,Departmentwide Other,,1743066.91
2019,General Fund,Public Safety,Police,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,29320417
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Skatepark Development,Tax-Supported Fund,Operating Expense,Skatepark Development,,0
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Leadership and Administration,Divisional Indirect Costs,Tax-Supported Fund,Operating Expense,Divisional Indirect Costs,,8097620.7
2019,General Fund,Administration,Sustainability and Environment,Office of Sustainability and Environment,Office of Sustainability and Environment,Tax-Supported Fund,Operating Expense,Office of Sustainability and Environment,,7541194
2019,General Fund,Administration,Information Technology,Capital Improvement Projects,Customer Support Services CIP,Tax-Supported Fund,Operating Expense,Customer Support Services CIP,,68779
2019,General Fund,Administration,Legislative,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,1282778
2019,General Fund,Utilities & Transportation,City Light,Engineering and Technology Innovation O&M,ENG AND TECH INNOVTN OPS O&M,Tax-Supported Fund,Operating Expense,ENG AND TECH INNOVTN OPS O&M,,22076514.87
2019,General Fund,Administration,Human Resources,HR Services,HR Work Force Equity,Tax-Supported Fund,Operating Expense,HR Work Force Equity,,3272760
2019,General Fund,Neighborhoods & Development,Neighborhoods,Community Building,FIFI,Tax-Supported Fund,Operating Expense,FIFI,,30000
2019,General Fund,Public Safety,Fire,Operations,Battalion 3 Medic One,Tax-Supported Fund,Operating Expense,Battalion 3 Medic One,,13665927
2019,General Fund,Education & Human Services,Human Services,Promoting Healthy Aging,Care Coordination,Tax-Supported Fund,Operating Expense,Care Coordination,,2339238
2019,General Fund,Public Safety,Police,Administrative Operations,Administrative Operations,Tax-Supported Fund,Operating Expense,Administrative Operations,,42883557
2019,General Fund,Administration,Intergovernmental Relations,Office of Intergovernmental Relations,Office of Intergovernmental Relations,Tax-Supported Fund,Operating Expense,Office of Intergovernmental Relations,,2765677
2019,General Fund,Administration,Human Resources,Health Care Services,Health Care Services,Tax-Supported Fund,Operating Expense,Health Care Services,,240053548
2019,General Fund,Administration,Finance and Administrative Services,Fleet Capital Program,Fleet Capital Program,Tax-Supported Fund,Operating Expense,Fleet Capital Program,,21829848
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Emergency Response,Tax-Supported Fund,Operating Expense,Emergency Response,,2087076.369
2019,General Fund,Utilities & Transportation,Transportation,ROW Management,St Use Permit & Enforcement,Tax-Supported Fund,Operating Expense,St Use Permit & Enforcement,,36347438
2019,General Fund,Administration,Human Resources,GTL/LTD/AD&D Insurance Service,GTL/LTD/AD&D Insurance,Tax-Supported Fund,Operating Expense,GTL/LTD/AD&D Insurance,,6515473
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,McCaw Hall,McCaw Hall,Tax-Supported Fund,Operating Expense,McCaw Hall,,5626535.615
2019,General Fund,Utilities & Transportation,Public Utilities,Sediments,Sediments,Tax-Supported Fund,Operating Expense,Sediments,,3636224
2019,General Fund,Administration,Finance and Administrative Services,Judgment & Claims General Legal,GF General Legal,Tax-Supported Fund,Operating Expense,GF General Legal,,88321
2019,General Fund,Administration,Finance and Administrative Services,Indigent Defense Services,Indigent Defense Services,Tax-Supported Fund,Operating Expense,Indigent Defense Services,,9396647
2019,General Fund,Administration,Information Technology,Applications Services,Shared Platforms,Tax-Supported Fund,Operating Expense,Shared Platforms,,17166107
2019,General Fund,Administration,Finance and Administrative Services,Judgment & Claims Police Action,GF Police Action,Tax-Supported Fund,Operating Expense,GF Police Action,,1120918
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Process Improvements & Technology,Process Improvements and Tech,Tax-Supported Fund,Operating Expense,Process Improvements and Tech,,2251943
2019,General Fund,Utilities & Transportation,City Light,Taxes,TAXES OPS O&M,Tax-Supported Fund,Operating Expense,TAXES OPS O&M,,104834481.1
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Cost Center Maintenance and Repairs,M&R Grounds Crews,Tax-Supported Fund,Operating Expense,M&R Grounds Crews,,23377015.38
2019,General Fund,Administration,Finance General,Appropriation to Special Funds,Insurance,Tax-Supported Fund,Operating Expense,Insurance,,6038275
2019,General Fund,Utilities & Transportation,Transportation,Mobility Operations,Neighborhoods,Tax-Supported Fund,Operating Expense,Neighborhoods,,1115891
2019,General Fund,Education & Human Services,Human Services,Addressing Homelessness,Navigation Team,Tax-Supported Fund,Operating Expense,Navigation Team,,1980357
2019,General Fund,Administration,Legislative,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,2557992
2019,General Fund,Utilities & Transportation,Public Utilities,Leadership and Administration,Divisional Indirect Costs,Tax-Supported Fund,Operating Expense,Divisional Indirect Costs,,1556254.034
2019,General Fund,Administration,Finance General,Reserves,Recurring Reserve-Voter Registration and Pamphlet,Tax-Supported Fund,Operating Expense,Recurring Reserve-Voter Registration and Pamphlet,,1900000
2019,General Fund,Education & Human Services,Human Services,Supporting Affordability and Livability,Emergency Preparedness and Program Administration,Tax-Supported Fund,Operating Expense,Emergency Preparedness and Program Administration,,943876
2019,General Fund,Administration,Finance General,Appropriation to Special Funds,Office of Labor Standards Fund,Tax-Supported Fund,Operating Expense,Office of Labor Standards Fund,,6599133
2019,General Fund,Administration,Finance General,Reserves,Recurring Reserve-Puget Sound Clean Air Agency,Tax-Supported Fund,Operating Expense,Recurring Reserve-Puget Sound Clean Air Agency,,754000
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Parks and Open Space,M&R - Parks & Open Space,Tax-Supported Fund,Operating Expense,M&R - Parks & Open Space,,22417820.17
2019,General Fund,Utilities & Transportation,City Light,Customer Focused - CIP,LOCAL JURISDICTIONS,Tax-Supported Fund,Operating Expense,LOCAL JURISDICTIONS,,13777159
2019,General Fund,Education & Human Services,Education and Early Learning,K-12 Programs,K-12 Programs,Tax-Supported Fund,Operating Expense,K-12 Programs,,36659395
2019,General Fund,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Trails and Bike Paths,Tax-Supported Fund,Operating Expense,Trails and Bike Paths,,1100001
2019,General Fund,Administration,Finance General,Appropriation to Special Funds,General Bond Interest/Redemption Fund,Tax-Supported Fund,Operating Expense,General Bond Interest/Redemption Fund,,15222025
2019,General Fund,Utilities & Transportation,City Light,Transmission and Distribution - CIP,DISTRIBUTION OTHER,Tax-Supported Fund,Operating Expense,DISTRIBUTION OTHER,,19895338
2019,General Fund,Utilities & Transportation,Public Utilities,Leadership and Administration,Indirect Cost Offsets,Tax-Supported Fund,Operating Expense,Indirect Cost Offsets,,-19218594
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,McCaw Hall Capital Reserve,McCaw Hall Asset Preservation,Tax-Supported Fund,Operating Expense,McCaw Hall Asset Preservation,,634000
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Leadership and Administration,Employee Benefits,Tax-Supported Fund,Operating Expense,Employee Benefits,,4562799.45
2019,General Fund,Administration,Finance General,Reserves,Police Domestic Violence Detectives,Tax-Supported Fund,Operating Expense,Police Domestic Violence Detectives,,24000
2019,General Fund,Public Safety,Fire,Operations,Safety and Risk Management,Tax-Supported Fund,Operating Expense,Safety and Risk Management,,1365370
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Cost Center Maintenance and Repairs,M&R Shops Crews,Tax-Supported Fund,Operating Expense,M&R Shops Crews,,10187256.11
2019,General Fund,Education & Human Services,Human Services,Emergency Preparedness and Provider Support,Emergency Preparedness and Provider Support,Tax-Supported Fund,Operating Expense,Emergency Preparedness and Provider Support,,0
2019,General Fund,Administration,Information Technology,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,21576529
2019,General Fund,Administration,Information Technology,Capital Improvement Projects,Telecommunications CIP,Tax-Supported Fund,Operating Expense,Telecommunications CIP,,6398760
2019,General Fund,Neighborhoods & Development,Neighborhoods,Community Building,Community Liaisons,Tax-Supported Fund,Operating Expense,Community Liaisons,,836317
2019,General Fund,Education & Human Services,Human Services,Supporting Affordability and Livability,Access to Services,Tax-Supported Fund,Operating Expense,Access to Services,,3836000
2019,General Fund,"Arts, Culture & Recreation",Library,Administrative/Support Service,Administrative Services,Tax-Supported Fund,Operating Expense,Administrative Services,,558009
2019,General Fund,Education & Human Services,Human Services,Preparing Youth for Success,Youth Development,Tax-Supported Fund,Operating Expense,Youth Development,,7491257
2019,General Fund,Administration,Finance General,Appropriation to Special Funds,Library Fund,Tax-Supported Fund,Operating Expense,Library Fund,,54966045
2019,General Fund,Public Safety,Fire,Operations,Office of the Operations Chief,Tax-Supported Fund,Operating Expense,Office of the Operations Chief,,7214065
2019,General Fund,Public Safety,Fire,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,12653334
2019,General Fund,Public Safety,Police,Southwest Precinct,Southwest Precinct,Tax-Supported Fund,Operating Expense,Southwest Precinct,,15889699
2019,General Fund,Utilities & Transportation,Public Utilities,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,80190847.28
2019,General Fund,Administration,Human Resources,HR Services,Training/Org Effectiveness,Tax-Supported Fund,Operating Expense,Training/Org Effectiveness,,2293181
2019,General Fund,Neighborhoods & Development,Economic Development,Business Services,Business Services Budget Program,Tax-Supported Fund,Operating Expense,Business Services Budget Program,,8508525
2019,General Fund,Administration,Finance General,Reserves,Recurring Reserve-Tax Refund Interest,Tax-Supported Fund,Operating Expense,Recurring Reserve-Tax Refund Interest,,775000
2019,General Fund,Administration,Hearing Examiner,Office of the Hearing Examiner,Office of the Hearing Examiner,Tax-Supported Fund,Operating Expense,Office of the Hearing Examiner,,960513
2019,General Fund,Utilities & Transportation,Public Utilities,General Expense,Capital Purchases,Tax-Supported Fund,Operating Expense,Capital Purchases,,225082.3128
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,DWW Facilities & Equip,Tax-Supported Fund,Operating Expense,DWW Facilities & Equip,,255601.49
2019,General Fund,Utilities & Transportation,Transportation,Mobility-Capital,Transit & HOV,Tax-Supported Fund,Operating Expense,Transit & HOV,,48337623
2019,General Fund,Neighborhoods & Development,Economic Development,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,1164632
2019,General Fund,Utilities & Transportation,City Light,Financial Services - CIP,FINANCE AND IT SYSTEMS,Tax-Supported Fund,Operating Expense,FINANCE AND IT SYSTEMS,,2722195
2019,General Fund,Administration,Human Resources,Leadership and Administration,Indirect Cost Recovery,Tax-Supported Fund,Operating Expense,Indirect Cost Recovery,,-7784021
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,2008 Parks Levy,08 Levy Cultural Facilities,Tax-Supported Fund,Operating Expense,08 Levy Cultural Facilities,,-0.06
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Departmentwide Programs,Partnerships - Departmentwide,Tax-Supported Fund,Operating Expense,Partnerships - Departmentwide,,4978956.71
2019,General Fund,Neighborhoods & Development,Neighborhoods,Neighborhood Matching Fund,Neighborhood Matching,Tax-Supported Fund,Operating Expense,Neighborhood Matching,,4091812
2019,General Fund,Utilities & Transportation,City Light,Leadership and Administration - Financial Services O&M,Indirect Cost Recovery,Tax-Supported Fund,Operating Expense,Indirect Cost Recovery,,-5814302.05
2019,General Fund,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Roads,Tax-Supported Fund,Operating Expense,Roads,,50402123
2019,General Fund,Administration,Human Resources,Leadership and Administration,Pooled Benefits,Tax-Supported Fund,Operating Expense,Pooled Benefits,,0
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Leadership and Administration,Indirect Cost Recovery Offset,Tax-Supported Fund,Operating Expense,Indirect Cost Recovery Offset,,-27346768